Code,Area,White,Asian,Black,Mixed/ Other,Total,Year

E09000001,City of London,-,-,-,-,"9,000",2018
E09000002,Barking and Dagenham,"109,000","54,000","36,000","15,000","215,000",2018
E09000003,Barnet,"250,000","57,000","30,000","54,000","390,000",2018
E09000004,Bexley,"195,000","17,000","21,000","15,000","248,000",2018
E09000005,Brent,"102,000","107,000","62,000","56,000","328,000",2018
E09000006,Bromley,"267,000","15,000","21,000","28,000","330,000",2018
E09000007,Camden,"158,000","39,000","19,000","38,000","255,000",2018
E09000008,Croydon,"227,000","70,000","64,000","24,000","386,000",2018
E09000009,Ealing,"174,000","96,000","23,000","50,000","343,000",2018
E09000010,Enfield,"206,000","37,000","74,000","20,000","337,000",2018
E09000011,Greenwich,"178,000","39,000","48,000","19,000","284,000",2018
E09000012,Hackney,"144,000","32,000","63,000","42,000","281,000",2018
E09000013,Hammersmith and Fulham,"119,000","20,000","23,000","19,000","180,000",2018
E09000014,Haringey,"180,000","18,000","34,000","44,000","276,000",2018
E09000015,Harrow,"110,000","98,000","13,000","28,000","249,000",2018
E09000016,Havering,"216,000","13,000","14,000","15,000","258,000",2018
E09000017,Hillingdon,"154,000","100,000","24,000","28,000","305,000",2018
E09000018,Hounslow,"130,000","86,000","25,000","29,000","269,000",2018
E09000019,Islington,"165,000","17,000","25,000","28,000","235,000",2018
E09000020,Kensington and Chelsea,"100,000","18,000","15,000","22,000","154,000",2018
E09000021,Kingston upon Thames,"123,000","30,000","3,000","21,000","177,000",2018
E09000022,Lambeth,"172,000","28,000","76,000","49,000","324,000",2018
E09000023,Lewisham,"193,000","23,000","58,000","30,000","305,000",2018
E09000024,Merton,"135,000","35,000","16,000","21,000","207,000",2018
E09000025,Newham,"111,000","166,000","47,000","27,000","351,000",2018
E09000026,Redbridge,"143,000","126,000","20,000","18,000","307,000",2018
E09000027,Richmond upon Thames,"170,000","11,000",-,"14,000","196,000",2018
E09000028,Southwark,"200,000","17,000","64,000","35,000","315,000",2018
E09000029,Sutton,"147,000","36,000","11,000","10,000","204,000",2018
E09000030,Tower Hamlets,"145,000","128,000","22,000","19,000","314,000",2018
E09000031,Waltham Forest,"142,000","44,000","43,000","48,000","277,000",2018
E09000032,Wandsworth,"242,000","19,000","39,000","23,000","323,000",2018
E09000033,Westminster,"140,000","33,000","17,000","51,000","241,000",2018
E09000001,City of London,"10,000",-,-,-,"14,000",2017
E09000002,Barking and Dagenham,"104,000","48,000","41,000","17,000","210,000",2017
E09000003,Barnet,"264,000","57,000","14,000","49,000","384,000",2017
E09000004,Bexley,"194,000","16,000","26,000","8,000","245,000",2017
E09000005,Brent,"121,000","101,000","61,000","44,000","327,000",2017
E09000006,Bromley,"255,000","26,000","18,000","27,000","326,000",2017
E09000007,Camden,"157,000","32,000","22,000","40,000","251,000",2017
E09000008,Croydon,"213,000","77,000","69,000","22,000","381,000",2017
E09000009,Ealing,"156,000","113,000","27,000","41,000","337,000",2017
E09000010,Enfield,"213,000","40,000","46,000","31,000","330,000",2017
E09000011,Greenwich,"178,000","25,000","59,000","18,000","280,000",2017
E09000012,Hackney,"150,000","28,000","48,000","48,000","275,000",2017
E09000013,Hammersmith and Fulham,"122,000","24,000","22,000","13,000","181,000",2017
E09000014,Haringey,"180,000","19,000","39,000","32,000","269,000",2017
E09000015,Harrow,"110,000","103,000","10,000","24,000","247,000",2017
E09000016,Havering,"219,000","13,000","9,000","14,000","254,000",2017
E09000017,Hillingdon,"168,000","91,000","16,000","25,000","299,000",2017
E09000018,Hounslow,"119,000","92,000","23,000","33,000","267,000",2017
E09000019,Islington,"150,000","17,000","26,000","39,000","232,000",2017
E09000020,Kensington and Chelsea,"97,000","12,000","18,000","26,000","153,000",2017
E09000021,Kingston upon Thames,"124,000","26,000","5,000","17,000","172,000",2017
E09000022,Lambeth,"217,000","12,000","65,000","27,000","321,000",2017
E09000023,Lewisham,"189,000","25,000","63,000","23,000","300,000",2017
E09000024,Merton,"132,000","38,000","16,000","19,000","204,000",2017
E09000025,Newham,"110,000","144,000","57,000","35,000","346,000",2017
E09000026,Redbridge,"113,000","145,000","23,000","19,000","300,000",2017
E09000027,Richmond upon Thames,"162,000","12,000","4,000","15,000","194,000",2017
E09000028,Southwark,"179,000","28,000","70,000","33,000","310,000",2017
E09000029,Sutton,"139,000","35,000","12,000","16,000","201,000",2017
E09000030,Tower Hamlets,"125,000","148,000","14,000","19,000","307,000",2017
E09000031,Waltham Forest,"153,000","41,000","44,000","36,000","274,000",2017
E09000032,Wandsworth,"227,000","37,000","19,000","33,000","316,000",2017
E09000033,Westminster,"131,000","34,000","19,000","50,000","234,000",2017
E09000001,City of London,-,-,-,-,-,2016
E09000002,Barking and Dagenham,"106,000","41,000","47,000","13,000","207,000",2016
E09000003,Barnet,"233,000","68,000","22,000","55,000","378,000",2016
E09000004,Bexley,"192,000","18,000","28,000","5,000","243,000",2016
E09000005,Brent,"117,000","106,000","53,000","49,000","324,000",2016
E09000006,Bromley,"272,000","17,000","23,000","13,000","325,000",2016
E09000007,Camden,"152,000","28,000","28,000","37,000","246,000",2016
E09000008,Croydon,"206,000","75,000","65,000","35,000","380,000",2016
E09000009,Ealing,"151,000","105,000","31,000","53,000","340,000",2016
E09000010,Enfield,"195,000","36,000","63,000","35,000","328,000",2016
